nombre,Ciudad,Departamento,Pais,Descripcion,latitud,longitud
La Abuela Nita,Rionegro,Antioquia,Colombia, Restaurante,6.121167,-75.4283507
Crepes & Waffles,Rionegro,Antioquia,Colombia, Restaurante,6.1474918,-75.3785739
Della Nonna Llanogrande,Rionegro,Antioquia,Colombia," Restaurante, Italiana, Marisco",6.1249161,-75.4232206
El Porton,Rionegro,Antioquia,Colombia," Pizzería, Pub y bar",6.129568,-75.379701
Dulce Contigo,Rionegro,Antioquia,Colombia, Postres,6.1301262,-75.3805849
Cazuela y Tizon,Rionegro,Antioquia,Colombia," Restaurante, Marisco",6.1306386,-75.3797607
Brasas Parrilla Bar,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa, Pub y bar, Parrilla",6.127123,-75.416125
Postres San Antonio,Rionegro,Antioquia,Colombia," Restaurante, Postres",6.1295157,-75.3805986
Mundos,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa, Parrilla",6.1490188,-75.3789523
Nido Del Jabali,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante, Pizzería, Pub y bar",6.1534026,-75.3747401
Crepes & Waffles Llanogrande,Rionegro,Antioquia,Colombia, Restaurante,6.1236992,-75.4230355
Folklore,Rionegro,Antioquia,Colombia, Restaurante,6.1478131,-75.3867788
restaurante el patio de san antonio,Rionegro,Antioquia,Colombia, Restaurante,6.1291214,-75.3798166
La Taberna Pizza Bar,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar, Pizzería",6.1385832,-75.3849563
Milagros,Rionegro,Antioquia,Colombia," Restaurante, Mexicana",6.1582469,-75.3705021
The Beef Store,Rionegro,Antioquia,Colombia," Café, Comida rápida, Restaurante, Pub y bar, Pizzería",6.1512496,-75.4087404
Chabuca,Rionegro,Antioquia,Colombia, Restaurante,6.208768,-75.5657688
Artesano Express,Rionegro,Antioquia,Colombia, Restaurante,6.175987,-75.3461286
Sushi 7,Rionegro,Antioquia,Colombia," Restaurante, Marisco, Sushi",6.1257519,-75.421173
Lazzaroni Cg Pizzería,Rionegro,Antioquia,Colombia," Restaurante, Italiana, Comida rápida, Pizzería",6.1274188,-75.3825872
Mundos Ribs,Rionegro,Antioquia,Colombia," Restaurante, Parrilla, Barbacoa",6.1522694,-75.3710633
