nombre,Ciudad,Departamento,Pais,descripcion
La Abuela Nita,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Crepes & Waffles,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Della Nonna Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Italiana, Marisco</span>"
El Porton,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Pub y bar</span>"
Dulce Contigo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Postres</span>"
Cazuela y Tizon,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Marisco</span>"
Brasas Parrilla Bar,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa, Pub y bar, Parrilla</span>"
Postres San Antonio,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Postres</span>"
Mundos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa, Parrilla</span>"
Savannah,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla, Pub y bar, Barbacoa</span>"
Nido Del Jabali,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante, Pizzería, Pub y bar</span>"
Crepes & Waffles Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Folklore,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
restaurante el patio de san antonio,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
La Taberna Pizza Bar,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar, Pizzería</span>"
Milagros,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Mexicana</span>"
The Beef Store,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Comida rápida, Restaurante, Pub y bar, Pizzería</span>"
Chabuca,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Artesano Express,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Sushi 7,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Marisco, Sushi</span>"
Lazzaroni Cg Pizzería,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Italiana, Comida rápida, Pizzería</span>"
Mundos Ribs,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla, Barbacoa</span>"
Don de Nico Restaurante Paisa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
La Torre Gourmet,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
