,nombre,Ciudad,Departamento,Pais,descripcion,latitud,longitud
0,La Abuela Nita,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.121167,-75.4283507
1,Crepes & Waffles,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1474918,-75.37857389999999
2,Della Nonna Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Italiana, Marisco</span>",6.1249161,-75.4232206
3,El Porton,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Pub y bar</span>",6.129568,-75.379701
4,Dulce Contigo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Postres</span>",6.130126199999999,-75.3805849
5,Cazuela y Tizon,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Marisco</span>",6.1306386,-75.37976069999999
6,Brasas Parrilla Bar,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa, Pub y bar, Parrilla</span>",6.127123,-75.416125
7,Postres San Antonio,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Postres</span>",6.1295157,-75.3805986
8,Mundos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa, Parrilla</span>",6.149018799999999,-75.3789523
9,Savannah,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla, Pub y bar, Barbacoa</span>",,
10,Nido Del Jabali,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante, Pizzería, Pub y bar</span>",6.1534026,-75.3747401
11,Crepes & Waffles Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1236992,-75.4230355
12,Folklore,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1478131,-75.3867788
13,restaurante el patio de san antonio,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1291214,-75.3798166
14,La Taberna Pizza Bar,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar, Pizzería</span>",6.138583199999999,-75.3849563
15,Milagros,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Mexicana</span>",6.1582469,-75.3705021
16,The Beef Store,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Comida rápida, Restaurante, Pub y bar, Pizzería</span>",6.1512496,-75.4087404
17,Chabuca,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.208768,-75.5657688
18,Artesano Express,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.175987,-75.3461286
19,Sushi 7,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Marisco, Sushi</span>",6.1257519,-75.421173
20,Lazzaroni Cg Pizzería,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Italiana, Comida rápida, Pizzería</span>",6.1274188,-75.3825872
21,Mundos Ribs,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla, Barbacoa</span>",6.1522694,-75.3710633
22,Don de Nico Restaurante Paisa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1740697,-75.4333419
23,La Torre Gourmet,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1252698,-75.4235971
24,Estadero El Paraíso,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1847446,-75.37525480000001
25,Napoles,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pizzería</span>",6.1474958,-75.380608
26,Pizzas con Sentido Rionegro,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida, Pizzería</span>",6.1508394,-75.39194309999999
27,Bbq Wings Express,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Barbacoa, Restaurante</span>",6.1481765,-75.38659299999999
28,Jalapeño,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Mexicana</span>",6.1256851,-75.4191262
29,Xtreme Wings,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida</span>",6.1492209,-75.3681021
30,Las Falabellas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa, Pub y bar</span>",6.1175688,-75.3893172
31,BEER,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>",6.127664999999999,-75.382212
